Company,Year-Invested,Type
Lumen Electronics,Growth equity,Apr-95
LeCroy,Growth equity,Mar-95
Hua Yang Printing,Buyout,Jan-95
Rite Industries,Carve-out,Jan-95
Miracle Garden Care,Carve-out,Dec-94
Original San Francisco Toymakers,Growth equity,Nov-94
Telik,Growth equity,Nov-94
Maurice,Buyout,Oct-94
Esat Telecom,Growth equity,Sep-94
Wireless (merger of Multipoint Networks and Wireless),Growth equity,Sep-94
CCT Telecom Holdings (now CCT Fortis),PIPE,Sep-94
Creative Multimedia,Growth equity,Sep-94
Vision Express,Growth equity,Sep-94
Warsaw Distribution Center,Growth equity,Aug-94
P.T. Intinusa Selareksa,Other,Aug-94
Esaote Biomedica,Privatization,Jul-94
Thonburi Hospital,Growth equity,Jul-94
P.T. Swasthi Parama Mulya,Growth equity,Jun-94
MJ Media Werbe,Growth equity,Jun-94
PCs Compleat,Growth equity,May-94
Transcend Therapeutics,Growth equity,Apr-94
MAT Technologies,Other,Mar-94
Subic Shipyard & Engineering,Privatization,Feb-94
Dowald-Rollen Beteiligungs,Buyout,Feb-94
Interlink Computer Sciences,Growth equity,Jan-94
Thüringer Behälterglas,Privatization,Jan-94
Nurture,Growth equity,Oct-93
Zindart Industrial Company,Buyout,Jul-93
Tradebe,Recapitalization,Apr-93
Primacom,Buyout,Apr-93
McDonnell Information Systems (now Northgate Information Solutions),Carve-out,Mar-93
Cable Management Ireland,Growth equity,Oct-92
Inspec Group,Carve-out,Sep-92
Verblendziegelwerk Malliß,Privatization,Apr-92
Tegee Chemie Bremen,Buyout,Mar-92
Terminales Quimicos,Carve-out,Mar-92
Gaymer Group Europe,Carve-out,Feb-92
Scandinavian Broadcasting Systems,Growth equity,Oct-91
Pi Holdings,Growth equity,Oct-91
Nelson Hurst,Carve-out,May-91
Devro Holdings,Carve-out,Apr-91
TIASA - Tecnología Informática Avanzada SA,Growth equity,Nov-90
Greenacre,Growth equity,Nov-90
Naj-Oleari,Recapitalization,Oct-90
Parmalat,PIPE,Sep-90
Independent Care,Growth equity,Aug-90
